FULL_DATE,VARIANT,AVG_MAO,STD_MAO,AVG_GMV_L28,SUM_GMV_L28,STD_GMV_L28,N_OBS
2022-03-10 00:00:00.000,control,0.010165,0.1003045363,1.89992775,11046352.82,30.450881987,5814091
2021-07-23 00:00:00.000,var_show,0.010988,0.104244904,1.97730198,256404795.62,30.04265291,129674070
2021-04-05 00:00:00.000,control,0.023646,0.1519440687,4.14315521,4868870.28,40.814093905,1175160
2020-12-15 00:00:00.000,control,0.052324,0.2226791414,7.48880026,2918153.31,49.332949528,389669
2021-02-02 00:00:00.000,control,0.041236,0.1988366163,6.88574371,4650114.87,50.411188125,675325
2020-09-09 00:00:00.000,control,0.138559,0.3454924022,15.20666747,380060.24,56.082316704,24993
2021-12-29 00:00:00.000,var_show,0.011009,0.1043455797,1.93832328,453038905.47,30.889804839,233727217
2022-02-18 00:00:00.000,var_show,0.010953,0.1040816987,1.99946339,539482535.13,32.449059389,269813660
2022-03-26 00:00:00.000,var_show,0.009372,0.09635351576,1.78321990,529099597.94,30.271851447,296710236
2022-03-29 00:00:00.000,var_show,0.009306,0.09601562373,1.76752641,528943326.69,30.051871719,299256250
2022-05-03 00:00:00.000,var_show,0.008707,0.0929031754,1.64160399,543482406.31,28.87523432,331067912
2022-05-09 00:00:00.000,control,0.008875,0.09379232378,1.65853362,11420430.34,29.398853904,6885860
2022-08-04 00:00:00.000,var_show,0.006687,0.08149846624,1.27123914,548573892.38,27.616139379,431526906
2022-08-31 00:00:00.000,var_show,0.006362,0.07950471684,1.22626596,560071427.29,26.164961671,456729163
2022-08-16 00:00:00.000,var_show,0.006528,0.0805294977,1.25280310,554837839.25,26.391240631,442877128
2022-08-24 00:00:00.000,control,0.006546,0.08064118055,1.27906731,11741468.27,27.781103965,9179711
2022-09-03 00:00:00.000,control,0.006421,0.07986864216,1.25977716,11813218.94,27.574717074,9377229
2022-09-04 00:00:00.000,control,0.006399,0.07973706792,1.25286619,11769547.77,27.523732796,9394098
2022-08-13 00:00:00.000,control,0.006644,0.08123422924,1.29280347,11608549.09,27.8470649,8979361
2021-08-03 00:00:00.000,var_show,0.010937,0.1040048076,1.96537564,268414026.44,30.020867576,136571361
2021-05-30 00:00:00.000,control,0.015006,0.121577136,2.66756865,4975866.48,34.496162686,1865319
2021-08-03 00:00:00.000,control,0.011083,0.1046900186,1.97583389,5493887.13,29.756039393,2780541
2021-08-29 00:00:00.000,control,0.011217,0.1053138168,2.00157569,6263837.06,29.679308217,3129453
2021-09-01 00:00:00.000,control,0.011217,0.1053138168,1.99341379,6330571.87,29.641890874,3175744
2020-12-18 00:00:00.000,var_show,0.050806,0.2196019126,7.37008803,148961602.86,52.059084261,20211645
2021-02-12 00:00:00.000,control,0.038492,0.1923824316,6.48670892,4785459.23,49.142754934,737733
2020-10-18 00:00:00.000,var_show,0.072080,0.2586194115,8.74471047,48553492.05,49.699713634,5552327
2020-09-12 00:00:00.000,control,0.141039,0.3480689587,16.32446845,407997.44,60.662744521,24993
2021-11-07 00:00:00.000,var_show,0.010345,0.1011830025,1.83452568,361450683.44,29.497372399,197026778
2021-12-27 00:00:00.000,var_show,0.010842,0.1035615759,1.91594303,445125639.81,30.786840935,232327179
2022-01-30 00:00:00.000,control,0.012617,0.1116154111,2.30187377,11940374.00,32.945445727,5187241
